2016-10-20 18:27:29 status half-installed libaudit-common:all 1:2.4-1
2016-10-20 18:27:29 status unpacked libaudit-common:all 1:2.4-1
2016-10-20 18:27:29 status unpacked libaudit-common:all 1:2.4-1
2016-10-20 18:27:29 install libaudit1:armhf <none> 1:2.4-1+b1
2016-10-20 18:27:29 status half-installed libaudit1:armhf 1:2.4-1+b1
2016-10-20 18:27:29 status unpacked libaudit1:armhf 1:2.4-1+b1
2016-10-20 18:27:29 status unpacked libaudit1:armhf 1:2.4-1+b1
2016-10-20 18:27:29 upgrade base-files:armhf 8+deb8u6 8+deb8u6
2016-10-20 18:27:29 status half-configured base-files:armhf 8+deb8u6
2016-10-20 18:27:29 status unpacked base-files:armhf 8+deb8u6
2016-10-20 18:27:29 status half-installed base-files:armhf 8+deb8u6
2016-10-20 18:27:29 status half-installed base-files:armhf 8+deb8u6
2016-10-20 18:27:29 status unpacked base-files:armhf 8+deb8u6
2016-10-20 18:27:29 status unpacked base-files:armhf 8+deb8u6
2016-10-20 18:27:30 upgrade base-passwd:armhf 3.5.37 3.5.37
2016-10-20 18:27:30 status half-configured base-passwd:armhf 3.5.37
2016-10-20 18:27:30 status unpacked base-passwd:armhf 3.5.37
2016-10-20 18:27:30 status half-installed base-passwd:armhf 3.5.37
2016-10-20 18:27:30 status half-installed base-passwd:armhf 3.5.37
2016-10-20 18:27:30 status unpacked base-passwd:armhf 3.5.37
2016-10-20 18:27:30 status unpacked base-passwd:armhf 3.5.37
2016-10-20 18:27:30 install bash:armhf <none> 4.3-11+b1
2016-10-20 18:27:30 status half-installed bash:armhf 4.3-11+b1
2016-10-20 18:27:30 status unpacked bash:armhf 4.3-11+b1
2016-10-20 18:27:30 status unpacked bash:armhf 4.3-11+b1
2016-10-20 18:27:31 install libbz2-1.0:armhf <none> 1.0.6-7+b3
2016-10-20 18:27:31 status half-installed libbz2-1.0:armhf 1.0.6-7+b3
2016-10-20 18:27:31 status unpacked libbz2-1.0:armhf 1.0.6-7+b3
2016-10-20 18:27:31 status unpacked libbz2-1.0:armhf 1.0.6-7+b3
2016-10-20 18:27:31 install libdebconfclient0:armhf <none> 0.192
2016-10-20 18:27:31 status half-installed libdebconfclient0:armhf 0.192
2016-10-20 18:27:31 status unpacked libdebconfclient0:armhf 0.192
2016-10-20 18:27:31 status unpacked libdebconfclient0:armhf 0.192
2016-10-20 18:27:31 install coreutils:armhf <none> 8.23-4
2016-10-20 18:27:31 status half-installed coreutils:armhf 8.23-4
2016-10-20 18:27:32 status unpacked coreutils:armhf 8.23-4
